sales_id,product_id,store_id,product_name,brand,category,volume_ml,alcohol_percentage,store_name,city,state,region,store_type,sales_date,quantity_sold,unit_price,total_sales
11,105,149,Captain Morgan Hit,Captain,Rum,500,15.32,Ramirez-Kirby,Cobbhaven,NC,Northeast,Retail,2025-04-01,8,45.1,360.8
12,101,131,Captain Morgan Her,Captain,Beer,700,36.85,Smith-Norris,West Mariamouth,RI,West,Retail,2025-03-24,19,19.47,369.93
13,102,147,Johnnie Walker Method,Johnnie,Whisky,1000,18.84,Banks-Smith,Smithstad,SC,Midwest,Retail,2025-05-02,1,32.54,32.54
14,106,120,Don Julio Soldier,Don,Tequila,700,12.73,Ochoa Inc,East Oliviashire,NJ,West,Retail,2025-04-10,34,69.51,2363.34
15,105,102,Smirnoff Hotel,Smirnoff,Vodka,1000,44.51,Leon Group,North Tylerview,MD,Midwest,Retail,2025-04-17,12,7.97,95.64
16,108,138,Baileys Single,Baileys,Rum,750,11.65,"Sosa, Martin and Rice",Bentonport,PW,South,Retail,2025-05-02,45,92.38,4157.1
17,103,129,Smirnoff Central,Smirnoff,Liqueur,750,20.98,Harrison PLC,Lake Candace,OH,Northeast,Wholesale,2025-04-12,2,6.73,13.46
18,103,138,Baileys Myself,Baileys,Beer,700,27.71,"Brooks, Williams and Booth",North Jimmymouth,LA,West,Retail,2025-03-28,42,33.74,1417.08
19,108,144,Tanqueray Appear,Tanqueray,Beer,750,26.77,Parker-Webb,Williamfurt,PA,West,Retail,2025-05-08,49,84.64,4147.36
20,108,137,Captain Morgan Trip,Captain,Whisky,1000,25.55,Nelson-Jennings,Danielberg,MD,Northeast,Retail,2025-04-07,6,64.32,385.92
21,110,146,Ciroc Memory,Ciroc,Whisky,1000,33.98,Peterson LLC,New Devinburgh,OH,Northeast,Retail,2025-05-20,50,49.85,2492.5
22,108,103,Smirnoff Capital,Smirnoff,Tequila,750,28.34,"Reed, Watson and Allen",Lewishaven,AZ,Southeast,Retail,2025-03-30,33,87.89,2900.37
23,104,128,Baileys Attack,Baileys,Tequila,700,20.12,"Gross, Luna and Hutchinson",Lake Nicole,MP,Southeast,Wholesale,2025-04-26,9,54.31,488.79
24,102,107,Don Julio Site,Don,Whisky,750,9.02,Brown and Sons,Crawfordhaven,ID,West,Wholesale,2025-04-10,15,30.17,452.55
25,109,126,Guinness Conference,Guinness,Vodka,500,40.19,Aguirre-Williams,Abigailstad,OK,Midwest,Retail,2025-05-06,37,30.79,1139.23
26,104,150,Ciroc Indeed,Ciroc,Vodka,1000,42.01,Werner PLC,Danielberg,NE,Southeast,Wholesale,2025-05-14,30,80.31,2409.3
27,108,142,Captain Morgan Effort,Captain,Beer,1000,33.18,"Hernandez, Curtis and Williams",West Stephen,DE,Northeast,Wholesale,2025-04-27,49,88.8,4351.2
28,103,113,Guinness Learn,Guinness,Gin,1000,38.9,Dyer Ltd,Greenshire,CO,South,Wholesale,2025-05-03,44,89.01,3916.44
29,108,125,Smirnoff Conference,Smirnoff,Vodka,500,4.39,Walker-Dawson,Guzmanbury,NE,West,Wholesale,2025-04-05,38,96.51,3667.38
30,103,144,Guinness Build,Guinness,Tequila,700,36.1,Brown Inc,South Michaelshire,MO,West,Retail,2025-04-01,20,84.31,1686.2
31,106,128,Ciroc Individual,Ciroc,Whisky,500,8.24,Miller-Oliver,Lake Deannachester,NV,Northeast,Wholesale,2025-05-17,29,98.72,2862.88
32,106,115,Smirnoff You,Smirnoff,Gin,750,35.88,Thompson-Cummings,Gardnerland,NE,Northeast,Wholesale,2025-04-17,7,92.97,650.79
33,106,141,Captain Morgan Remember,Captain,Liqueur,700,25.99,"Reeves, Duncan and Mullins",Willisland,MO,West,Wholesale,2025-04-11,22,80.85,1778.7
34,110,121,Smirnoff Three,Smirnoff,Vodka,500,37.8,Miller-Davis,Vasqueztown,ID,Midwest,Retail,2025-04-09,32,94.69,3030.08
35,103,130,Smirnoff Measure,Smirnoff,Gin,700,20.01,"Decker, Glover and Goodwin",Lake Jennifer,MO,West,Retail,2025-04-24,38,35.55,1350.9
36,104,121,Captain Morgan Reach,Captain,Whisky,750,43.31,Stevens-Daniel,North Susan,SD,Midwest,Retail,2025-05-04,48,99.59,4780.32
37,102,118,Captain Morgan Write,Captain,Rum,500,28.03,"Patton, Morgan and Pittman",Nathanberg,NE,Southeast,Retail,2025-04-25,18,56.69,1020.42
38,108,105,Guinness Reason,Guinness,Tequila,500,31.18,Mcintosh Inc,Millerburgh,UT,Northeast,Wholesale,2025-04-20,47,90.77,4266.19
39,107,105,Ciroc Discuss,Ciroc,Whisky,1000,21.65,Bryan PLC,South Thomas,AZ,South,Wholesale,2025-05-09,19,23.85,453.15
40,109,122,Don Julio Land,Don,Tequila,700,34.34,Roberts and Sons,Lake Jimmy,WI,South,Retail,2025-04-21,6,19.81,118.86
41,102,123,Ciroc Building,Ciroc,Vodka,1000,17.93,Phillips Ltd,North Mary,SD,South,Retail,2025-04-05,6,39.33,235.98
42,107,139,Captain Morgan Again,Captain,Whisky,1000,5.37,"Miller, Howell and Green",South Christopher,KY,Northeast,Retail,2025-04-10,31,43.13,1337.03
43,108,135,Johnnie Walker Ahead,Johnnie,Tequila,750,27.13,"Nunez, Brooks and Cooley",East Rachaelton,VI,South,Wholesale,2025-04-29,27,9.83,265.41
44,106,120,Ciroc Make,Ciroc,Liqueur,1000,32.85,Dawson-Mckinney,Port Maryfort,HI,Northeast,Retail,2025-04-28,14,73.22,1025.08
45,110,150,Ciroc Majority,Ciroc,Tequila,750,13.49,Caldwell-Newman,South Haileyburgh,OH,Southeast,Retail,2025-03-28,19,28.11,534.09
46,108,124,Captain Morgan Best,Captain,Rum,750,33.53,Russell Ltd,South Andrew,SC,Southeast,Wholesale,2025-05-13,33,67.55,2229.15
47,110,147,Don Julio Spring,Don,Vodka,700,19.53,Wolf-Baldwin,Port Kevinview,DE,West,Retail,2025-03-26,22,27.44,603.68
48,108,137,Guinness New,Guinness,Liqueur,750,34.06,Thompson-White,Dakotaland,CO,West,Retail,2025-05-19,17,38.98,662.66
49,110,133,Don Julio Short,Don,Beer,750,21.05,Boyer LLC,Port Michelleland,WA,Southeast,Wholesale,2025-04-08,45,39.77,1789.65
50,103,144,Baileys Write,Baileys,Vodka,750,12.22,Cooper-Mclaughlin,West Randy,MT,Northeast,Wholesale,2025-03-29,36,35.45,1276.2
51,103,140,Baileys Pattern,Baileys,Whisky,1000,37.56,Payne-Barnett,Port Jennifer,UT,Northeast,Wholesale,2025-05-20,9,87.6,788.4
52,105,142,Smirnoff Beautiful,Smirnoff,Whisky,500,8.46,Hutchinson-George,Lake Bradleystad,TN,Midwest,Retail,2025-04-16,1,94.04,94.04
53,107,148,Tanqueray While,Tanqueray,Beer,1000,4.19,Finley Inc,East Jacquelinestad,WA,Northeast,Wholesale,2025-05-04,38,94.63,3595.94
54,107,146,Baileys Sell,Baileys,Vodka,700,7.59,"Jackson, Sparks and Franco",Lake Donna,IL,Southeast,Wholesale,2025-04-14,33,37.98,1253.34
55,102,117,Tanqueray Region,Tanqueray,Vodka,750,5.17,"Dixon, Smith and Mitchell",Port Sarahside,NE,Northeast,Retail,2025-04-03,37,69.67,2577.79
56,103,109,Guinness Open,Guinness,Liqueur,750,16.61,West LLC,West Timothy,NH,South,Retail,2025-04-05,8,21.78,174.24
57,101,149,Smirnoff Good,Smirnoff,Rum,500,14.03,Payne Inc,Jocelynside,PR,Northeast,Wholesale,2025-05-10,31,83.61,2591.91
58,103,142,Captain Morgan Effort,Captain,Gin,750,40.02,"Little, Walker and Morales",Lake Bryanland,NH,Southeast,Retail,2025-05-11,30,5.75,172.5
59,109,123,Smirnoff Go,Smirnoff,Liqueur,700,14.57,"Perry, Walker and Brown",Salinasmouth,OH,South,Retail,2025-04-23,26,77.18,2006.68
60,104,132,Guinness Fill,Guinness,Vodka,700,23.28,Perez-Mercer,Davidville,NY,South,Retail,2025-04-21,28,38.43,1076.04
61,108,139,Guinness Forward,Guinness,Whisky,500,32.92,Lopez PLC,West Carlos,VA,Midwest,Wholesale,2025-04-30,8,81.42,651.36
62,109,135,Baileys However,Baileys,Tequila,750,26.46,Benitez Inc,Danielhaven,PR,South,Wholesale,2025-05-05,43,43.04,1850.72
63,109,127,Johnnie Walker Conference,Johnnie,Liqueur,750,9.51,Hicks-Hall,West Linda,ID,West,Wholesale,2025-05-13,23,72.68,1671.64
64,106,149,Captain Morgan Item,Captain,Rum,500,18.63,"Smith, Murray and Garcia",North Michael,VI,Southeast,Retail,2025-05-14,1,13.28,13.28
65,105,141,Guinness Officer,Guinness,Rum,1000,14.19,"Brady, Wood and Osborne",Sandersview,MS,South,Wholesale,2025-04-01,18,52.91,952.38
66,103,124,Tanqueray Seven,Tanqueray,Vodka,1000,39.98,Stephens-Hoffman,Andreaborough,FM,Southeast,Retail,2025-04-05,47,35.06,1647.82
67,102,131,Ciroc Same,Ciroc,Tequila,700,9.65,Martinez PLC,Kristenfort,ID,Southeast,Wholesale,2025-03-27,7,92.01,644.07
68,101,105,Baileys Young,Baileys,Whisky,500,33.44,Jackson Inc,East Ryanview,GA,Midwest,Wholesale,2025-05-09,37,23.81,880.97
69,104,119,Tanqueray Class,Tanqueray,Liqueur,500,34.92,Kelley-Frey,Markview,OH,Northeast,Wholesale,2025-05-19,6,10.83,64.98
70,109,120,Tanqueray Health,Tanqueray,Gin,1000,27.63,"Kennedy, Orozco and Oconnell",Marioshire,MN,West,Wholesale,2025-04-25,38,60.16,2286.08
71,101,149,Baileys Beautiful,Baileys,Liqueur,500,35.12,Smith-Waters,North Leahport,HI,Northeast,Wholesale,2025-04-24,24,64.37,1544.88
72,104,121,Baileys Ten,Baileys,Liqueur,1000,11.48,Tran-Mitchell,Lake Heather,NY,West,Retail,2025-04-13,7,48.53,339.71
73,101,104,Johnnie Walker Particularly,Johnnie,Beer,750,32.66,Davis-Garcia,Baldwinmouth,IA,Northeast,Retail,2025-04-04,8,60.21,481.68
74,107,108,Baileys Who,Baileys,Rum,500,28.64,"Smith, Gentry and Richardson",Port Rickey,UT,Northeast,Wholesale,2025-05-15,18,71.66,1289.88
